identifier	time_total_s	time_perevent_s
Reader:EventGenerator	1.829e-05	1.829e-05
Algorithm:ParticleSelector	4.041e-06	4.041e-06
Algorithm:FatrasSimulation	0.001146	0.001146
Algorithm:DigitizationAlgorithm	0.0001823	0.0001823
Algorithm:TruthSeedSelector	1.11e-05	1.11e-05
Algorithm:SpacePointMaker	1.301e-05	1.301e-05
Algorithm:SeedingAlgorithm	0.0007506	0.0007506
Algorithm:TrackParamsEstimationAlgorithm	2.27e-05	2.27e-05
Algorithm:TrackFindingAlgorithm	0.008106	0.008106
Algorithm:TrackSelector	1.28e-05	1.28e-05
Algorithm:AmbiguityResolutionAlgorithm	0.0002243	0.0002243
Writer:RootParticleWriter	0.0003233	0.0003233
Writer:RootParticleWriter	6.037e-05	6.037e-05
Writer:RootSimHitWriter	5.516e-05	5.516e-05
Writer:RootMeasurementWriter	0.000254	0.000254
Writer:TrackFinderPerformanceWriter	0.0002532	0.0002532
Writer:SeedingPerformanceWriter	9.735e-06	9.735e-06
Writer:RootTrackParameterWriter	0.0001227	0.0001227
Writer:RootTrajectorySummaryWriter	0.0007471	0.0007471
Writer:CKFPerformanceWriter	9.933e-05	9.933e-05
Writer:RootTrajectorySummaryWriter	0.0004058	0.0004058
Writer:CKFPerformanceWriter	2.211e-05	2.211e-05
Writer:RootParticleWriter:endRun	0.03108	0.03108
Writer:RootParticleWriter:endRun	0.001815	0.001815
Writer:RootSimHitWriter:endRun	0.00319	0.00319
Writer:RootMeasurementWriter:endRun	0.0046	0.0046
Writer:TrackFinderPerformanceWriter:endRun	0.002941	0.002941
Writer:SeedingPerformanceWriter:endRun	0.02348	0.02348
Writer:RootTrackParameterWriter:endRun	0.002488	0.002488
Writer:RootTrajectorySummaryWriter:endRun	0.001545	0.001545
Writer:CKFPerformanceWriter:endRun	0.01153	0.01153
Writer:RootTrajectorySummaryWriter:endRun	0.001372	0.001372
Writer:CKFPerformanceWriter:endRun	0.002364	0.002364
