identifier	time_total_s	time_perevent_s
Reader:EventGenerator	0.5226	0.5226
Algorithm:ParticleSelector	0.002151	0.002151
Algorithm:FatrasSimulation	2.629	2.629
Algorithm:DigitizationAlgorithm	0.145	0.145
Algorithm:TruthSeedSelector	0.01033	0.01033
Algorithm:SpacePointMaker	0.01659	0.01659
Algorithm:SeedingAlgorithm	0.4011	0.4011
Algorithm:TrackParamsEstimationAlgorithm	0.02095	0.02095
Algorithm:TrackFindingAlgorithm	16.2	16.2
Algorithm:TrackSelector	0.003179	0.003179
Algorithm:AmbiguityResolutionAlgorithm	165.9	165.9
Writer:RootParticleWriter	0.0496	0.0496
Writer:RootParticleWriter	0.009526	0.009526
Writer:RootParticleWriter	0.007491	0.007491
Writer:RootSimHitWriter	0.1713	0.1713
Writer:RootMeasurementWriter	0.1811	0.1811
Writer:TrackFinderPerformanceWriter	0.03636	0.03636
Writer:SeedingPerformanceWriter	0.006398	0.006398
Writer:RootTrackParameterWriter	0.04479	0.04479
Writer:RootTrajectorySummaryWriter	0.6046	0.6046
Writer:CKFPerformanceWriter	0.09271	0.09271
Writer:RootTrajectorySummaryWriter	0.0832	0.0832
Writer:CKFPerformanceWriter	0.01423	0.01423
Writer:RootParticleWriter:endRun	0.02716	0.02716
Writer:RootParticleWriter:endRun	0.001282	0.001282
Writer:RootParticleWriter:endRun	0.001214	0.001214
Writer:RootSimHitWriter:endRun	0.005131	0.005131
Writer:RootMeasurementWriter:endRun	0.0526	0.0526
Writer:TrackFinderPerformanceWriter:endRun	0.006463	0.006463
Writer:SeedingPerformanceWriter:endRun	0.01592	0.01592
Writer:RootTrackParameterWriter:endRun	0.007677	0.007677
Writer:RootTrajectorySummaryWriter:endRun	0.0003352	0.0003352
Writer:CKFPerformanceWriter:endRun	0.007995	0.007995
Writer:RootTrajectorySummaryWriter:endRun	0.003968	0.003968
Writer:CKFPerformanceWriter:endRun	0.001598	0.001598
